교차로코드,입력일자,교차로명칭,유형코드,연동교차로코드,구코드 (공통),지번,구경찰서 (공통);,신경찰서 (공통);,작업구분 (공통);,표출구분 (공통);,고객번호,계약종별,계량기번호,도로구분 (공통);,관할사업소 (공통);,교차로관리번호,공간데이터,신규정규화ID,이력ID,동코드 (공통),공사형태 (공통);,지도표출구분
7130, ,명덕초교입구(연등),2,2297,740,산40-3 임,310,310,1,2, , , , ,106,82-0000006800,,6268134,6800,10700, , 
7132, ,우신고후문(연등),1,1562,530,86-4전,330,330,1,2, , , , ,104,82-0000006802,,194753,6802,11000, , 
7134, ,우리유앤미아파트(연등)2,1,5464,530,501-13도,330,330,1,2, , , , ,104,82-0000006804,,1194891,6804,10200, , 
7136, ,낙성대역앞(연등),1,4494,620,산32-81 임,290,290,1,2, , , , ,105,82-0000006806,,3140241,6806,10100, , 
7137, ,제일제당앞(연등),1,1431,530,609-23도,330,330,1,2, , , , ,104,82-0000006807,,1185762,6807,10200, , 
7146, ,공진중학교(연등)2,1,2891,500,33-2대,300,300,1,2, , , , ,104,82-0000006816,,1239993,6816,10400, , 
7148, ,보훈약국(연등),2,2173,710,200-105 천,360,360,1,2, , , , ,106,82-0000006818,,6184045,6818,11400, , 
7546, ,청진상가,2,0,110, ,120,120,1,2, , , , ,107,82-0000007216,,3371303,7216,12600, , 
7180, ,금천경찰서(연등)2,3,1310,620,1723 대,260,260,1,2, , , , ,105,82-0000006850,,2141623,6850,10200, , 
7185, ,올림픽공원북2문(연등)1,2,2203,740,435-1대,310,310,1,2, , , , ,106,82-0000006855,,6230384,6855,10800, , 
7549, ,문래하이테크시티,2,0,560,16-84도,170,170,1,2, , , , ,104,82-0000007219,,2138091,7219,12100, , 
7550, ,신정교하부,2,0,560,43-1도,170,170,1,2, , , , ,104,82-0000007220,,1199911,7220,12300, , 
7597, ,청계9가(연등)1,3,0,200,129-81도,180,180,1,2, , , , ,109,82-0000007267,,4350993,7267,10200, , 
7607, ,청계4가(연등),3,0,140, ,110,110,1,2, , , , ,108,82-0000007277,,4300275,7277,15200, , 
7610, ,KT한강로빌딩(연등),1,0,170,2-216철,160,160,1,2, , , , ,108,82-0000007280,,3252462,7280,12500, , 
7620, ,구파발역정류장(연등),1,0,380,52-27도,390,390,1,2, , , , ,108,82-0000007290,,2455983,7290,11200, , 
7621, ,청계5가(연등),3,0,110, ,150,150,1,2, , , , ,107,82-0000007291,,4311003,7291,16300, , 
7628, ,이대역(연등)1,1,0,440,144-2 학,210,210,1,2, , , , ,108,82-0000007298,,3208911,7298,10800, , 
7633, ,서울YMCA(연등),1,0,110, ,120,120,1,2, , , , ,107,82-0000007303,,3381106,7303,13800, , 
7636, ,마곡10단지,2,0,500,956답,300,300,1,2, , , , ,104,82-0000007306,,288661,7306,10800, , 
7760, ,데이즈호텔앞,1,0,140, ,130,130,1,2, , , , ,108,82-0000007430,,3278791,7430,12300, , 
7762, ,귀뚜라미보일러(연등),3,1403,540,981-23대,260,260,1,2, , , , ,105,82-0000007432,,2029713,7432,10200, , 
7764, ,성일초교(연등),3,2314,740,215-33대,310,310,1,2, , , , ,106,82-0000007434,,6232344,7434,10800, , 
7069, ,청백104동앞,1,0,350,산65-14 임,370,370,1,2, , , , ,107,82-0000006739,,4495861,6739,10200, , 
7070, ,여의도성모병원(연등),1,1919,560,8-4도,170,170,1,2, , , , ,104,82-0000006740,,2199954,6740,11000, , 
7072, ,서부새생명약국(연등)1,1,40,380,5-17대,390,390,1,2, , , , ,108,82-0000006742,,2359905,6742,10800, , 
7361, ,예향교회앞(연등),1,2405,210,453도,230,230,1,2, , , , ,109,82-0000007031,,5267275,7031,10100, , 
7624, ,청계3가(연등),2,0,140, ,110,110,1,2, , , , ,108,82-0000007294,,3390363,7294,15600, , 
7627, ,신촌로터리(연등),1,0,410,30-18도,140,140,1,2, , , , ,108,82-0000007297,,2297381,7297,0, , 
7631, ,영도교(연등),3,0,140, ,110,110,1,2, , , , ,108,82-0000007301,,4341023,7301,16500, , 
7637, ,비우당교(연등),3,0,200,93-15 대,180,180,1,2, , , , ,109,82-0000007307,,4351311,7307,10100, , 
7777, ,헌릉로입구(경보),1,0,650,1-1560답,340,340,1,2, , , , ,106,82-0000007447,,5056381,7447,10900, , 
6873, ,신공덕삼성아파트(연등),1,915,440,14-91도,210,210,1,2, , , , ,108,82-0000006543,,3224595,6543,10300, , 
6875, ,신도초교앞,3,0,380,산107-3임,390,390,1,2, , , , ,108,82-0000006545,,2485223,6545,11300, , 
6884, ,H-11,1,0,500,248-1답,300,300,1,2, , , , ,104,82-0000006554,,1300261,6554,10500, , 
6918, ,길동119안전센터(연등)3,3,0,740,327-22대,310,310,1,2, , , , ,106,82-0000006588,,6264355,6588,10500, , 
6933, ,우솔초등학교,1,0,650,428답,340,340,1,2, , , , ,105,82-0000006603,,4045083,6603,10300, , 
6943, ,세곡LH1단지앞,3,0,680,산33임,410,410,1,2, , , , ,106,82-0000006613,,5088611,6613,11100, , 
6945, ,불광롯데캐슬입구,2,0,380,11-24도,390,390,1,2, , , , ,108,82-0000006615,,2480674,6615,10300, , 
6949, ,정부서울청사(연등),1,678,110, ,120,120,1,2, , , , ,107,82-0000006619,,3352935,6619,10700, , 
6954, ,구파발검문소앞,1,0,380,51-14대,390,390,1,2, , , , ,108,82-0000006624,,2456853,6624,11100, , 
6955, ,청구역(연등),1,442,140,304-88 도,110,110,1,2, , , , ,108,82-0000006625,,4228991,6625,16200, , 
6957, ,장충체육관(연등),1,574,140,11-1대,110,110,1,2, , , , ,108,82-0000006627,,4218681,6627,14300, , 
6965, ,수유시장앞,1,0,300,195-1도,250,250,1,2, , , , ,107,82-0000006635,,4444953,6635,10100, , 
6975, ,답십리래미안위브309동앞,3,0,230,105-1학,200,200,1,2, , , , ,109,82-0000006645,,5301131,6645,10500, , 
6981, ,서울대병원앞,1,0,110, ,150,150,1,2, , , , ,107,82-0000006651,,4313023,6651,16600, , 
7350, ,동구햇살아파트,2,0,260,335천,270,270,1,2, , , , ,109,82-0000007020,,5430573,7020,10400, , 
7544, ,완구시장입구,1,0,110, ,150,150,1,2, , , , ,107,82-0000007214,,4331163,7214,17400, , 
7547, ,서울YMCA,2,0,110, ,120,120,1,2, , , , ,107,82-0000007217,,3381002,7217,13800, , 
7551, ,영일시장,2,0,560,160대,170,170,1,2, , , , ,104,82-0000007221,,2139021,7221,12100, , 
6791, ,신내3지구삼거리,2,0,260, ,270,270,1,2, , , ,1,109,82-0000006461,,5492501,6461,10600, , 
6886, ,마리오아울렛2,1,0,540,124-12대,260,260,1,2, , , , ,105,82-0000006556,,2100781,6556,10100, , 
6887, ,봉천119안전센터(연등),1,0,620,635-269대,290,290,1,2, , , , ,105,82-0000006557,,3102241,6557,10100, , 
6890, ,롯데IT캐슬,1,0,540,371-9도,260,260,1,2, , , , ,105,82-0000006560,,1190443,6560,10100, , 
6895, ,마곡역서측,1,0,500,469도,300,300,1,2, , , , ,104,82-0000006565,,298283,6565,10800, , 
6902, ,마곡M밸리4단지앞,1,0,500,321-2 전,300,300,1,2, , , , ,104,82-0000006572,,390793,6572,10500, , 
6913, ,양재시프트,1,0,650,76대,340,340,1,2, , , , ,105,82-0000006583,,4069763,6583,10200, , 
6928, ,제2롯데월드,1,0,710,11-9대,360,360,1,2, , , , ,106,82-0000006598,,5188861,6598,10200, , 
6931, ,한옥체험마을,3,0,680,435-2전,410,410,1,2, , , , ,106,82-0000006601,,5089341,6601,11200, , 
6932, ,서초보금자리34단지,1,0,650,299-1답,340,340,1,2, , , , ,105,82-0000006602,,4046742,6602,10300, , 
6939, ,목양침례교회,1,0,650,340-1 도,340,340,1,2, , , , ,106,82-0000006609,,5015221,6609,10900, , 
6942, ,탄천교1교하부,3,0,710,331대,360,360,1,2, , , , ,106,82-0000006612,,5155671,6612,10100, , 
6964, ,길음1동주민센터앞,1,6964,290,813-7 공,190,190,1,2, , , , ,107,82-0000006634,,4349196,6634,13400, , 
6966, ,길음뉴타운2단지,1,0,290,1281-8 도,190,190,1,2, , , , ,107,82-0000006636,,4339594,6636,13400, , 
6978, ,광운대(연등)1,1,6866,350,377-50대,370,370,1,2, , , , ,107,82-0000006648,,5412021,6648,10200, , 
6982, ,상암파출소,1,901,440,1064-1 철,210,210,1,2, , , , ,108,82-0000006652,,2312895,6652,12700, , 
7067, ,오목근린공원(연등)1,1,5641,470,904대,350,350,1,2, , , , ,104,82-0000006737,,1281196,6737,10200, , 
7074, ,동묘앞역(연등)3,1,622,110, ,150,150,1,2, , , , ,107,82-0000006744,,4341093,6744,17500, , 
7754, ,동북고입구(경보),1,0,710,180-1대,360,360,1,2, , , , ,106,82-0000007424,,6159563,7424,10600, , 
7079, ,신정숲속마을,2,0,470,836-47 임,350,350,1,2, , , , ,104,82-0000006749,,1116491,6749,10100, , 
7080, ,혜화약국(경보),1,0,110, ,150,150,1,2, , , , ,107,82-0000006750,,4304771,6750,16900, , 
7103, ,태봉근린공원,3,0,650,276임,340,340,1,2, , , , ,105,82-0000006773,,4047722,6773,10300, , 
7371, ,초이동,1,0,740,산56-1임,310,310,1,2, , , , , ,82-0000007041,,6294183,7041,10300, , 
7015, ,타워팰리스(연등),3,0,680,91 학,410,410,1,2, , , , ,106,82-0000006685,,5102091,6685,11800, , 
7018, ,세곡중학교,1,0,680,산46-54 임,410,410,1,2, , , , ,106,82-0000006688,,5068873,6688,11200, , 
6800, ,보영물류센터앞(경보),3,0,560,57공,170,170,1,2, , , ,2,104,82-0000006470,,2201941,6470,12700, , 
6861, ,마포푸르지오212동앞,3,0,440,251-79 도,210,210,1,2, , , , ,108,82-0000006531,,3227463,6531,10100, , 
6863, ,숲유치원,2,0,380,산72-5임,390,390,1,2, , , , ,108,82-0000006533,,2465735,6533,11300, , 
7366, ,기타(북부도로사업소권역),1,0,300,647-4천,250,250,1,2, , , , ,107,82-0000007036,,4456861,7036,10200, , 
6871, ,월계롯데캐슬루나아파트(경보),2,0,350,555공,370,370,1,2, , , , ,107,82-0000006541,,4493653,6541,10200, , 
6872, ,광화문D타워(경보),2,0,110, ,120,120,1,2, , , , ,107,82-0000006542,,3361931,6542,12200, , 
7277, ,국민은행서교동지점(연등),2,4093,440,159-5대,210,210,1,2, , , , ,108,82-0000006947,,2267953,6947,12000, , 
5959, ,진주아파트11동앞,1,0,710, ,360,360,1,2, , , ,1,106,82-0000005909,, ,5909,10200, ,N
5960, ,서초트라팰리스,1,0,650,1338-4대,340,340,1,2, , , ,2,105,82-0000005910,,4152762,5910,10800, ,N
5961, ,칠궁,1,0,110, ,120,120,1,2, , , ,1,107,82-0000005911,, ,5911,10300, ,N
5962, ,코끼리할인마트앞,1,0,560, ,220,170,1,2, , , ,1,105,82-0000005912,, ,5912,13200, ,N
5963, ,크리스챤선교센터,1,0,530, ,330,330,1,2, , , ,2,104,82-0000005913,, ,5913,10100, ,N
5964, ,한성교회,1,0,470,521 공,350,350,1,2, , , ,1,104,82-0000005421,,1127792,5421,10100, ,N
5965, ,한양공원,1,0,140,48-21대,130,130,1,2, , , ,1,108,82-0000005975,,3277762,5975,12100, ,N
5966, ,해성공업사,1,0,540,839-33대,260,260,1,2, , , ,2,105,82-0000005976,,2034752,5976,10300, ,N
5967, ,홈플러스신풍,1,0,560, ,220,170,1,2, , , ,1,105,82-0000005977,, ,5977,13200, ,N
5968, ,이튼타워2(경보),1,0,210, ,230,230,1,2, , , ,2,109,82-0000005914,, ,5914,10500, ,N
5969, ,이튼타워3(경보),1,0,210, ,230,230,1,2, , , ,1,109,82-0000005915,, ,5915,10500, ,N
5970, ,이튼타워3(경보)(연등),1,0,210, ,230,230,1,2, , , ,2,109,82-0000005916,, ,5916,10500, ,N
5971, ,이튼타워1(경보),1,0,210, ,230,230,1,2, , , ,2,109,82-0000005917,, ,5917,10600, ,N
5972, ,신양초교(연등),1,2346,210, ,230,230,1,2, , , ,1,109,82-0000005536,, ,5536,10500, ,N
5973, ,성자초교(연등),1,2378,210, ,230,230,1,2, , , ,1,109,82-0000005537,, ,5537,10500, ,N
5974, ,신도고교,1,0,380,103-10전,390,390,1,2, , , ,1,108,82-0000005650,,2464342,5650,11300, ,N
5975, ,신동아상가,1,0,320,740 대,400,400,1,2, , , ,1,107,82-0000005602,,4551842,5602,10600, ,N
5976, ,효성교회,1,0,300,산25-22묘,250,250,1,2, , , ,2,107,82-0000005603,,4461484,5603,10100, ,N
5919, ,녹사평역,1,0,170, ,160,160,1,2, , , ,1,108,82-0000005775,, ,5775,10300, ,N
5977, ,임마뉴엘교회,1,0,300,258-289 도,250,250,1,2, , , ,2,107,82-0000005604,,4463022,5604,10100, ,N
5979, ,한국스포렉스,1,0,230,237-15도,200,200,1,2, , , ,1,109,82-0000005978,,4361062,5978,10200, ,N
5980, ,해오름마트앞,1,0,210, ,230,230,1,2, , , ,1,109,82-0000005979,, ,5979,10300, ,N
5981, ,삼전동주민센터,1,0,710,92-13대,360,360,1,2, , , ,1,106,82-0000005980,,5176012,5980,10600, ,N
5982, ,향군회관,1,0,710, ,360,360,1,2, , , ,1,106,82-0000005841,, ,5841,10200, ,N
5983, ,십자성마을(연등)2,1,0,740,43-77도,310,310,1,2, , , ,1,106,82-0000005538,,6254692,5538,10500, ,N
5984, ,서울창포원앞(경보),1,0,320, ,400,400,1,2, , , ,2,107,82-0000005842,, ,5842,10800, ,N
5985, ,언북중학교,1,0,680,630-26 대,280,280,1,2, , , ,1,106,82-0000005843,,4169792,5843,10800, ,N
5986, ,종로노인복지관앞,2,0,110, ,150,150,1,2, , , ,1,107,82-0000005422,, ,5422,16700, ,N
5987, ,동인주택앞(경보),1,0,300, ,250,250,1,2, , , ,2,107,82-0000005605,, ,5605,10300, ,N
5988, ,케리스빌딩앞,1,0,140,18-20도,110,110,1,2, , , ,1,108,82-0000005539,,4219562,5539,14700, ,N
5989, ,하나금융그룹,1,0,140, ,130,130,1,2, , , ,1,108,82-0000005535,,3380114,5535,10500, ,N
5990, ,상암동서울일본인학교,2,0,440,1694 도,210,210,1,2, , , ,2,108,82-0000005606,,2303392,5606,12700, ,N
5991, ,우리은행상암동지점,3,0,440,775철,210,210,1,2, , , ,2,108,82-0000005607,,2303582,5607,12700, ,N
5992, ,스탠포드호텔사거리,3,0,440, ,210,210,1,2, , , ,2,108,82-0000005608,, ,5608,12700, ,N
5993, ,상암디지털드림타워,3,0,440,410-1 철,210,210,1,2, , , ,2,108,82-0000005609,,2303962,5609,12700, ,N
5994, ,상암사보이시티DMC,2,0,440,410-1 철,210,210,1,2, , , ,2,108,82-0000005610,,2313152,5610,12700, ,N
5995, ,극동아파트상가앞(경보),1,0,320, ,400,400,1,2, , , ,2,107,82-0000005777,, ,5777,10800, ,N
5996, ,샘터근린공원,2,0,740, ,310,310,1,2, , , ,2,106,82-0000005981,, ,5981,10200, ,N
5997, ,고덕근린공원,2,0,740,산92임,310,310,1,2, , , ,2,106,82-0000005982,,6279324,5982,10200, ,N
5998, ,송곡고교(경보),1,0,260, ,270,270,1,2, , , ,2,109,82-0000005611,, ,5611,10500, ,N
5999, ,마장하이츠아파트(연등),1,4091,200, ,180,180,1,2, , , ,1,109,82-0000005612,, ,5612,10500, ,N
6000, ,광남유치원,1,0,210, ,230,230,1,2, , , ,2,109,82-0000005613,, ,5613,10400, ,N
6001, ,스타시티입구,1,0,210,393-1,230,230,1,2, , , ,2,109,82-0000005614,,5233672,5614,10500, ,N
6002, ,성진어린이집,1,0,210,84-17대,230,230,1,2, , , ,1,109,82-0000005615,,5226892,5615,10900, ,N
6003, ,휘경동입구(경보),1,0,230, ,200,200,1,2, , , ,1,109,82-0000005971,, ,5971,10900, ,N
6004, ,상왕십리역(연등)1,1,662,200,258대,180,180,1,2, , , ,1,109,82-0000005651,,4350902,5651,10400, ,N
6005, ,사평역,1,0,650,20-43 대,340,340,1,2, , , ,1,105,82-0000005540,,4136342,5540,10700, ,N
6006, ,올림픽대교북단(경보),1,379,210, ,230,230,1,2, , , ,1,109,82-0000005541,, ,5541,10400, ,N
6007, ,한강공원,1,0,710,242천,360,360,1,2, , , ,2,106,82-0000005918,,5139852,5918,10100, ,N
6008, ,대로건설(주)앞(경보),2,0,560, ,170,170,1,2, , , ,2,104,82-0000005778,, ,5778,11600, ,N
6009, ,오류동가스충전소(경보),1,0,530, ,330,330,1,2, , , ,2,104,82-0000005779,, ,5779,10800, ,N
6010, ,노들역,1,0,590, ,220,220,1,2, , , ,1,105,82-0000005616,, ,5616,10400, ,N
6011, ,홍대역2번출구,1,0,440,153-1대,210,210,1,2, , , ,1,108,82-0000005617,,2278112,5617,12100, ,N
6012, ,은평뉴타운10단지,2,0,380, ,390,390,1,2, , , ,1,108,82-0000005618,,2457532,5618,11100, ,N
6013, ,르메이에르5차,1,0,440,5-44대,210,210,1,2, , , ,1,108,82-0000005619,,2297782,5619,11000, ,N
6016, ,세종문화회관,1,0,110, ,120,120,1,2, , , ,1,107,82-0000005621,,3361552,5621,11900, ,N
6017, ,KT앞,1,0,110, ,120,120,1,2, , , ,1,107,82-0000005622,,3361662,5622,11900, ,N
6018, ,택배터미널,1,0,540,470-8장,260,260,1,2, , , ,2,105,82-0000005623,,1191132,5623,10100, ,N
6019, ,현대한강아파트,2,0,170, ,160,160,1,2, , , ,2,108,82-0000005624,, ,5624,12900, ,N
6020, ,가재울동부센트레빌,2,0,410,377대,140,140,1,2, , , ,2,108,82-0000005625,,2352822,5625,12000, ,N
6021, ,교육SKY학원,3,0,410,415-31대,140,140,1,2, , , ,1,108,82-0000005626,,2372702,5626,11700, ,N
4621, ,까치고개~남현동(경보),1,0,590,1129도,380,220,1,2, , , ,1,105,82-0000001898,, ,1898,10700, ,N
4624, ,대성빌라(경보),1,0,590,708-743도,380,220,1,2, , , ,2,105,82-0000002166,, ,2166,10700, ,N
4625, ,삼호그린아파트(경보),1,0,590,산32-8 임,380,220,1,2, , , ,2,105,82-0000000811,, ,811,10700, ,N
4626, ,천동초교정문앞,1,2305,740,55-27도,310,310,1,2, , , ,2,106,82-0000004873,, ,4873,10500, ,N
4627, ,삼일초교(연등),1,0,590,105대,220,220,1,2, , , ,2,105,82-0000002037,,3162272,2037,10700, ,N
4628, ,보훈병원,2,0,740,88-2도,310,310,1,2, , , ,2,106,82-0000001712,, ,1712,10600, ,N
4629, ,달마사공원(경보),2,0,590,산42-18임,220,220,1,2, , , ,2,105,82-0000004183,, ,4183,10500, ,N
4630, ,상도6구역(경보),1,0,590,산49-153임,220,220,1,2, , , ,2,105,82-0000002774,, ,2774,10500, ,N
4631, ,흑석동부센트레빌2차,1,0,590,79-256도,220,220,1,2, , , ,2,105,82-0000002167,, ,2167,10500, ,N
4632, ,상현중(경보),1,0,590,산51-10임,220,220,1,2, , , ,2,105,82-0000001531,, ,1531,10200, ,N
4633, ,수산시장길(경보),2,0,590,13-8대,220,220,1,2, , , ,1,105,82-0000004871,, ,4871,10100, ,N
4634, ,신동아아파트길(경보),1,0,590,481-1 공,220,220,1,2, , , ,2,105,82-0000002168,, ,2168,10400, ,N
4635, ,극락정사(경보),1,0,590,481-4도,220,220,1,2, , , ,2,105,82-0000000802,, ,802,10400, ,N
4636, ,영본초교입구(경보),1,0,590,467-82도,220,220,1,2, , , ,2,105,82-0000004471,, ,4471,10400, ,N
4637, ,신동아리버파크후문(경보),1,0,590,17-1도,220,220,1,2, , , ,2,105,82-0000005302,, ,5302,10200, ,N
4638, ,신동아리버파크(경보),1,0,590,326대,220,220,1,2, , , ,2,105,82-0000003941,, ,3941,10200, ,N
4639, ,노량진5거리(경보),4,0,590,223-24도, ,220,1,2, , , ,2,105,82-0000003381,, ,3381,10100, ,N
4640, ,한성교회입구(경보),1,0,590,157대,220,220,1,2, , , ,2,105,82-0000000482,, ,482,10200, ,N
4641, ,상도현진빌라,1,0,590,210-17도, ,220,1,2, , , ,1,105,82-0000001523,, ,1523,10200, ,N
4642, ,국사봉중학교(경보),1,0,590,산65-196임,220,220,1,2, , , ,2,105,82-0000001524,, ,1524,10200, ,N
4644, ,대림한숲타운(경보),1,0,590,23-186대,220,220,1,2, , , ,2,105,82-0000001702,, ,1702,10800, ,N
4645, ,신길초교,1,0,590,511 대,220,220,1,2, , , ,2,105,82-0000001893,,2177692,1893,10800, ,N
4646, ,캠프그레이(경보),3,0,590,466-2도,220,220,1,2, , , ,2,105,82-0000004310,, ,4310,10800, ,N
4647, ,영화초교(경보),1,0,590,14-41잡,220,220,1,2, , , ,2,105,82-0000003872,, ,3872,10800, ,N
4648, ,공군복지단(경보),2,0,590,68-10구,220,220,1,2, , , ,2,105,82-0000003834,, ,3834,10800, ,N
4649, ,제비공원(경보),2,0,590,350-2대,220,220,1,2, , , ,2,105,82-0000001944,, ,1944,10800, ,N
4650, ,대방골4R(경보),3,0,590,466-56도,220,220,1,2, , , ,2,105,82-0000002176,, ,2176,10800, ,N
4651, ,성남중고교(경보),1,0,590,466-10대,220,220,1,2, , , ,2,105,82-0000000826,, ,826,10800, ,N
4652, ,성남고후문(경보),1,0,590,466-10대,220,220,1,2, , , ,2,105,82-0000000365,, ,365,10800, ,N
4653, ,우석학원(경보),3,0,590,466-10대,220,220,1,2, , , ,2,105,82-0000003781,, ,3781,10800, ,N
4654, ,대방교회앞(경보),3,0,590,466-43도,220,220,1,2, , , ,2,105,82-0000000827,, ,827,10800, ,N
4655, ,서울공고뒤(경보),3,0,590,466-10대,220,220,1,2, , , ,2,105,82-0000000366,, ,366,10800, ,N
4656, ,범한택시(경보),3,0,590,466-10대,220,220,1,2, , , ,2,105,82-0000005016,, ,5016,10800, ,N
4657, ,대림초교(경보),2,0,590,466-10대,220,220,1,2, , , ,2,105,82-0000000499,, ,499,10800, ,N
4658, ,문창중(경보),1,0,590,산118-104임,220,220,1,2, , , ,2,105,82-0000001914,, ,1914,10900, ,N
4659, ,동작우체국(경보),1,0,590,349-35도,220,220,1,2, , , ,2,105,82-0000001915,, ,1915,10900, ,N
4660, ,신대방2노인정(경보),1,0,590,378-10도,220,220,1,2, , , ,2,105,82-0000005041,, ,5041,10900, ,N
4661, ,덕우약국(경보),1,0,590,408-2천,220,220,1,2, , , ,2,105,82-0000001713,, ,1713,10800, ,N
4662, ,신대방2PB(경보),2,0,590,408-2천,220,220,1,2, , , ,2,105,82-0000000491,, ,491,10800, ,N
4663, ,보라매병원앞,2,0,590,395-61도,290,220,1,2, , , ,2,105,82-0000004475,, ,4475,10900, ,N
4664, ,보라매후문(경보),3,0,590,395-61도,220,220,1,2, , , ,2,105,82-0000004874,, ,4874,10900, ,N
4667, ,잠수고가(경보),2,0,650,113도,340,340,1,2, , , ,1,105,82-0000000815,, ,815,10600, ,N
4668, ,반포쇼핑4동(경보),3,0,650,111도,340,340,1,2, , , ,2,105,82-0000000816,, ,816,10600, ,N
4669, ,잠원쇼핑(연등),1,0,650,72-1공,340,340,1,2, , , ,2,105,82-0000001538,,4117162,1538,10600, ,N
4670, ,반원초교,1,0,650,71-23도,340,340,1,2, , , ,2,105,82-0000001936,,4117455,1936,10600, ,N
4671, ,신반포아파트(경보),1,0,650,64-8대,340,340,1,2, , , ,1,105,82-0000003772,,4118722,3772,10600, ,N
4672, ,하나유치원(경보),1,0,650,85도,340,340,1,2, , , ,2,105,82-0000000817,, ,817,10600, ,N
4673, ,매일상가(연등),3,1067,650,54-6학,340,340,1,2, , , ,2,105,82-0000001539,,4128843,1539,10600, ,N
4674, ,한신327동(경보),1,0,650,83도,340,340,1,2, , , ,2,105,82-0000003773,, ,3773,10600, ,N
4675, ,양자강(경보),1,0,650,104도,340,340,1,2, , , ,2,105,82-0000005750,, ,5750,10600, ,N
4676, ,고속도로지하통로(경보),1,0,650,749-6 도,340,340,1,2, , , ,2,105,82-0000000492,, ,492,10700, ,N
4677, ,대법원(연등),3,1099,650,1748-10도,340,340,1,2, , , ,1,105,82-0000003774,, ,3774,10800, ,N
4678, ,청구빌라(경보),1,0,650,1498-6대,340,340,1,2, , , ,2,105,82-0000002040,,4112472,2040,10800, ,N
4679, ,롯데빌리지나동(경보),1,0,650,1494-16대,340,340,1,2, , , ,2,105,82-0000002041,, ,2041,10800, ,N
4680, ,서원초교(연등),1,0,650,20-43 대,340,340,1,2, , , ,2,105,82-0000001902,,4135485,1902,10700, ,N
4681, ,원명초교(경보),1,0,650,1685-1학,340,340,1,2, , , ,2,105,82-0000002173,, ,2173,10800, ,N
4682, ,반포센트럴푸르지오써밋(연등),2,0,650,28-4도,340,340,1,2, , , ,2,105,82-0000001903,,4135674,1903,10700, ,N
4683, ,반포센트럴푸르지오써밋,2,0,650,749-44 도,340,340,1,2, , , ,2,105,82-0000001904,,4135762,1904,10700, ,N
4684, ,서초래미안,1,0,650,131-3 천,340,340,1,2, , , ,2,105,82-0000001714,, ,1714,10700, ,N
4685, ,삼성아파트입구(경보),2,0,650,1748-1도,340,340,1,2, , , ,1,105,82-0000000367,, ,367,10800, ,N
4686, ,유원아파트입구(경보),1,0,650,1687대,340,340,1,2, , , ,2,105,82-0000003903,, ,3903,10800, ,N
4687, ,금호아파트입구(경보),2,0,650,1738-7도,340,340,1,2, , , ,2,105,82-0000003904,, ,3904,10800, ,N
4688, ,서초초교(경보),3,0,650,1307-6대,340,340,1,2, , , ,2,105,82-0000000500,, ,500,10800, ,N
4689, ,서초삼성스위트아파트,3,0,650,1317-28대,340,340,1,2, , , ,2,105,82-0000003782,,4154043,3782,10800, ,N
4690, ,서일초교(경보),1,0,650,1436-8학,340,340,1,2, , , ,2,105,82-0000003905,, ,3905,10800, ,N
4691, ,대동공업사(경보),3,0,650,1422-1대,340,340,1,2, , , ,2,105,82-0000000828,, ,828,10800, ,N
4692, ,우암초교(연등)2,1,0,650,산3-1 임,340,340,1,2, , , ,2,105,82-0000001916,,4059202,1916,10300, ,N
4693, ,우면치안센터(연등),1,1177,650,산70-4임,340,340,1,2, , , ,2,105,82-0000000368,,4059632,368,10300, ,N
4694, ,한국통신개발원(경보),1,0,650,23-1도,340,340,1,2, , , ,2,105,82-0000003906,, ,3906,10300, ,N
4695, ,우면교(경보),2,0,650,624공,340,340,1,2, , , ,2,105,82-0000000501,, ,501,10200, ,N
4696, ,한국통신정문(경보),1,0,650,17대,340,340,1,2, , , ,2,105,82-0000005007,, ,5007,10300, ,N
4697, ,구청야적장(경보),2,0,650,105-17도,340,340,1,2, , , ,2,105,82-0000005678,, ,5678,10200, ,N
4698, ,광일카센타(경보),1,0,650,99-5천,280,340,1,2, , , ,2,105,82-0000000829,, ,829,10200, ,N
4699, ,KEC앞삼거리,2,0,650,261-22 공,340,340,1,2, , , ,2,105,82-0000000830,, ,830,10200, ,N
4700, ,언남고교(경보),3,0,650,309학,340,340,1,2, , , ,2,105,82-0000000502,, ,502,10200, ,N
4701, ,서초우체국,2,0,650,310-3도,340,340,1,2, , , ,2,105,82-0000004722,, ,4722,10200, ,N
4703, ,양재근린공원,2,0,650,307-8대,340,340,1,2, , , ,2,105,82-0000000503,,4089202,503,10200, ,N
4704, ,명성카센타(경보),2,0,650,310-2도,340,340,1,2, , , ,2,105,82-0000002177,, ,2177,10200, ,N
4705, ,원터마을입구(경보),1,0,650,393-2도,340,340,1,2, , , ,2,106,82-0000000504,, ,504,10400, ,N
4706, ,청계골입구,2,0,650,525-33전,340,340,1,2, , , ,2,106,82-0000003907,, ,3907,10400, ,N
4707, ,헌인주차장(경보),1,0,650,산13-293임,340,340,1,2, , , ,2,106,82-0000004161,, ,4161,10900, ,N
4708, ,성한산장(경보),1,0,650,1-3079 임,340,340,1,2, , , ,2,106,82-0000002178,,5057102,2178,10900, ,N
4709, ,헌릉IC,1,0,650,산12-411 천,340,340,1,2, , , ,1,106,82-0000003908,,5057704,3908,10900, ,N
