교차로코드,입력일자,교차로명칭,유형코드,연동교차로코드,구코드 (공통),지번,구경찰서 (공통);,신경찰서 (공통);,작업구분 (공통);,표출구분 (공통);,고객번호,계약종별,계량기번호,도로구분 (공통);,관할사업소 (공통);,교차로관리번호,공간데이터,신규정규화ID,이력ID,동코드 (공통),공사형태 (공통);,지도표출구분
990, ,방배신동아아파트,2,0,650,1494-16 대,380,380,1,2, , , ,1,105,82-0000000192,,4111052,192,10100, ,N
991, ,서울고교(연등)2,1,488,650,1037-5도,340,340,1,2, , , ,2,105,82-0000004102,, ,4102,10100, ,N
992, ,래미안아트힐(연등),1,489,650,1747-3도,340,340,1,2, , , ,2,105,82-0000004033,,4110862,4033,10800, ,N
994, ,롯데빌라,3,0,650,1505-6대,340,340,1,2, , , ,2,105,82-0000003540,,4112342,3540,10800, ,N
995, ,효령아파트(연등)2,1,1030,650,912-25도,380,380,1,2, , , ,1,105,82-0000000170,, ,170,10100, ,N
996, ,방배3치안센터(연등)2,1,767,650,1033-1도,380,380,1,2, , , ,1,105,82-0000002902,,4100742,2902,10100, ,N
997, ,방배3치안센터(연등)1,1,767,650,982-4도,380,380,1,2, , , ,1,105,82-0000000683,, ,683,10100, ,N
998, ,e편한세상아파트입구,1,390,650,910-16도,380,380,1,2, , , ,1,105,82-0000004242,, ,4242,10100, ,N
999, ,도구로입구,2,1031,650,980-53도,380,380,1,2, , , ,1,105,82-0000003354,, ,3354,10100, ,N
1000, ,방배래미안타워,1,0,650,504-3도,380,380,1,2, , , ,1,105,82-0000002920,, ,2920,10100, ,N
1001, ,유니모전자,1,0,650,504-2도,380,380,1,2, , , ,1,105,82-0000002471,, ,2471,10100, ,N
1002, ,평화약국,1,0,590,1034-8대,220,220,1,2, , , ,1,105,82-0000001103,,3160632,1103,10700, ,N
1003, ,방배우성아파트,1,0,650,3235구,380,380,1,2, , , ,1,105,82-0000002521,, ,2521,10100, ,N
1004, ,방배래미안아파트,1,1003,650,3274대,380,380,1,2, , , ,1,105,82-0000000573,,3079622,573,10300, ,N
1005, ,경찰특경대,1,0,620,산93-5임,290,290,1,2, , , ,1,105,82-0000003859,, ,3859,10300, ,N
1006, ,수도방위사령부,1,0,620,산97-6도,290,290,1,2, , , ,1,105,82-0000001008,, ,1008,10300, ,N
1007, ,신성택시,1,1000,650,산84-3임,380,380,1,2, , , ,1,105,82-0000001329,,3099562,1329,10100, ,N
1008, ,외환카드사,1,0,650,880-15도,380,380,1,2, , , ,1,105,82-0000005301,,3192722,5301,10100, ,N
1009, ,남성초교,2,0,590,323-6도, ,220,1,2, , , ,1,105,82-0000002921,, ,2921,10700, ,N
1010, ,반포대교남단,3,0,650,128-2도,380,380,1,2, , , ,1,105,82-0000002356,, ,2356,10700, ,N
1011, ,동작우체국입구,2,1009,590,708-513천,220,220,1,2, , , ,1,105,82-0000000700,,3162902,700,10700, ,N
1012, ,범진여객,2,0,590,708-834천,220,220,1,2, , , ,1,105,82-0000002922,,3161182,2922,10700, ,N
1013, ,국민은행남성,1,0,590,252-5도, ,220,1,2, , , ,1,105,82-0000002923,, ,2923,10700, ,N
1014, ,국민은행남성(연등)2,1,1012,590,169-8대,220,220,1,2, , , ,1,105,82-0000000701,,3152602,701,10700, ,N
1015, ,남성역,2,0,590,708-1048도, ,220,1,2, , , ,1,105,82-0000000626,, ,626,10700, ,N
1016, ,남성역(연등)1,1,1015,590,708-1025도, ,220,1,2, , , ,1,105,82-0000000596,, ,596,10700, ,N
1017, ,이수초교,1,0,650,456-26대,380,380,1,2, , , ,2,105,82-0000004647,,3170562,4647,10100, ,N
1018, ,동작고,1,0,590,산32-83임,220,220,1,2, , , ,2,105,82-0000004576,,3141632,4576,10700, ,N
1019, ,사당5치안센터(연등),1,1060,590,200전, ,220,1,2, , , ,1,105,82-0000003356,, ,3356,10700, ,N
1020, ,동양시스템,3,0,710,42-15도,360,360,1,2, , , ,2,106,82-0000004209,, ,4209,11200, ,N
1021, ,함지박사거리,3,0,650,12-56대,380,380,1,2, , , ,1,105,82-0000004210,,3183992,4210,10100, ,N
1022, ,방배행정문화센터,1,1023,650,841-2대,380,380,1,2, , , ,1,105,82-0000002924,,3193305,2924,10100, ,N
1023, ,동국한방병원,1,0,650,836-11도,380,380,1,2, , , ,1,105,82-0000001009,, ,1009,10100, ,N
1024, ,동국한방병원(연등),1,1023,650,812-26도,380,380,1,2, , , ,1,105,82-0000003898,, ,3898,10100, ,N
1025, ,서울성모병원정문,1,0,650,522도,380,380,1,2, , , ,1,105,82-0000002472,, ,2472,10700, ,N
1026, ,서초경찰서,1,0,650,1748-7도,340,340,1,2, , , ,1,105,82-0000001259,, ,1259,10800, ,N
1027, ,서울성모병원정문(연등),1,1025,650,513-2도,380,380,1,2, , , ,1,105,82-0000003888,, ,3888,10700, ,N
1028, ,서초경찰서(연등),1,1026,650,1748-7도,340,340,1,2, , , ,1,105,82-0000001784,, ,1784,10800, ,N
1029, ,효령아파트(연등)1,2,1030,650,917-8도,380,380,1,2, , , ,1,105,82-0000004648,, ,4648,10100, ,N
1030, ,효령아파트,1,0,650,924-8대,380,380,1,2, , , ,1,105,82-0000001169,,3191712,1169,10100, ,N
1031, ,서울메트로뒤,2,0,650,474-28도,380,380,1,2, , , ,1,105,82-0000003443,, ,3443,10100, ,N
1032, ,서초3동우체국,1,0,650,1718-4대,340,340,1,2, , , ,1,105,82-0000001309,,4123132,1309,10800, ,N
1033, ,서초3동우체국(연등),1,1032,650,1551-3대,340,340,1,2, , , ,1,105,82-0000002473,,4122292,2473,10800, ,N
1034, ,효창운동장,2,0,170,132-198임,160,160,1,2, , , ,2,108,82-0000004369,, ,4369,11100, ,N
1035, ,방배초교입구,3,0,650,864-41도,380,380,1,2, , , ,1,105,82-0000004376,, ,4376,10100, ,N
1036, ,정금마을,1,0,590,55-3도, ,220,1,2, , , ,1,105,82-0000002357,, ,2357,10600, ,N
1037, ,경문고교,2,0,590,79-49도, ,220,1,2, , , ,1,105,82-0000001168,, ,1168,10700, ,N
1038, ,방배신삼호아파트,1,0,650,757-4도,380,380,1,2, , , ,1,105,82-0000002358,, ,2358,10100, ,N
1039, ,쌍용예가아파트,1,0,650,757-5 도,380,380,1,2, , , ,2,105,82-0000001785,,3184112,1785,10100, ,N
1040, ,뒷벌어린이공원,3,0,650,776-3대,380,380,1,2, , , ,2,105,82-0000001557,,3183362,1557,10100, ,N
1041, ,대구은행,2,0,650,1748-30도,340,340,1,2, , , ,1,105,82-0000003949,, ,3949,10800, ,N
1042, ,교대부속초교,3,0,650,1658-13대,340,340,1,2, , , ,1,105,82-0000003039,,4133132,3039,10800, ,N
1043, ,법원후문,3,0,650,1748-6도,340,340,1,2, , , ,1,105,82-0000001387,, ,1387,10800, ,N
1044, ,사법연수원,2,0,650,1748-6도,340,340,1,2, , , ,1,105,82-0000003040,, ,3040,10800, ,N
1045, ,서초한양아파트,1,2030,650,128-10도,340,340,1,2, , , ,1,105,82-0000001687,,4125852,1687,10700, ,N
1046, ,궁전가든,3,0,650,131-1 천,340,340,1,2, , , ,1,105,82-0000001688,, ,1688,10700, ,N
1047, ,뉴코아아울렛(연등),1,1972,650,65-32대,340,340,1,2, , , ,1,105,82-0000001242,,4127063,1242,10600, ,N
1048, ,뉴코아백화점,3,0,650,102도,340,340,1,2, , , ,1,105,82-0000002798,, ,2798,10600, ,N
1049, ,반포3동주민센터,2,0,650,102도,340,340,1,2, , , ,1,105,82-0000003950,, ,3950,10600, ,N
