사고다발지FID,사고다발지ID,법정동코드,지점코드,시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
154571,2013099,1121510300,11215002,서울특별시 광진구2,서울특별시 광진구 구의동(광진우체국 부근),4,5,0,3,1,1,127.0896696,37.53909345,"{""type"":""Polygon"",""coordinates"":[[[127.0912698,37.5403676],[127.0909268,37.5405917],[127.0905356,37.5407583],[127.0901111,37.5408608],[127.0896696,37.5408954],[127.0892281,37.5408608],[127.0888036,37.5407583],[127.0884123,37.5405917],[127.0880694,37.5403676],[127.087788,37.5400946],[127.0875788,37.539783],[127.0874501,37.539445],[127.0874066,37.5390934],[127.0874501,37.5387419],[127.0875789,37.5384038],[127.087788,37.5380923],[127.0880694,37.5378192],[127.0884124,37.5375951],[127.0888036,37.5374286],[127.0892281,37.5373261],[127.0896696,37.5372914],[127.0901111,37.5373261],[127.0905356,37.5374286],[127.0909268,37.5375951],[127.0912697,37.5378192],[127.0915511,37.5380923],[127.0917603,37.5384038],[127.0918891,37.5387419],[127.0919325,37.5390934],[127.0918891,37.539445],[127.0917603,37.539783],[127.0915512,37.5400946],[127.0912698,37.5403676]]]}"
161603,2013099,1121510900,11215003,서울특별시 광진구3,서울특별시 광진구 군자동(흰돌교회 부근),4,5,0,4,1,0,127.0704363,37.55380754,"{""type"":""Polygon"",""coordinates"":[[[127.0720368,37.5550817],[127.0716938,37.5553058],[127.0713025,37.5554724],[127.0708779,37.5555749],[127.0704363,37.5556095],[127.0699947,37.5555749],[127.0695701,37.5554724],[127.0691788,37.5553058],[127.0688358,37.5550817],[127.0685543,37.5548087],[127.0683451,37.5544971],[127.0682163,37.5541591],[127.0681729,37.5538075],[127.0682164,37.553456],[127.0683452,37.5531179],[127.0685543,37.5528064],[127.0688358,37.5525333],[127.0691788,37.5523092],[127.0695701,37.5521427],[127.0699947,37.5520402],[127.0704363,37.5520055],[127.0708778,37.5520402],[127.0713024,37.5521427],[127.0716937,37.5523092],[127.0720367,37.5525333],[127.0723182,37.5528064],[127.0725274,37.5531179],[127.0726562,37.553456],[127.0726997,37.5538075],[127.0726562,37.5541591],[127.0725274,37.5544971],[127.0723183,37.5548087],[127.0720368,37.5550817]]]}"
161604,2013099,1121510500,11215004,서울특별시 광진구4,서울특별시 광진구 자양동(동부간선도로-강변북로램프(7) 부근),5,5,0,0,3,2,127.070697,37.53006007,"{""type"":""Polygon"",""coordinates"":[[[127.072297,37.5313343],[127.0719541,37.5315584],[127.0715629,37.5317249],[127.0711384,37.5318274],[127.070697,37.5318621],[127.0702556,37.5318274],[127.0698311,37.5317249],[127.0694399,37.5315584],[127.069097,37.5313343],[127.0688156,37.5310612],[127.0686065,37.5307496],[127.0684778,37.5304116],[127.0684343,37.53006],[127.0684778,37.5297085],[127.0686066,37.5293705],[127.0688157,37.5290589],[127.0690971,37.5287859],[127.0694399,37.5285618],[127.0698311,37.5283952],[127.0702556,37.5282927],[127.070697,37.5282581],[127.0711384,37.5282927],[127.0715629,37.5283952],[127.0719541,37.5285618],[127.0722969,37.5287859],[127.0725783,37.5290589],[127.0727874,37.5293705],[127.0729162,37.5297085],[127.0729597,37.53006],[127.0729162,37.5304116],[127.0727875,37.5307496],[127.0725784,37.5310612],[127.072297,37.5313343]]]}"
161605,2013099,1121510200,11215005,서울특별시 광진구5,서울특별시 광진구 능동(세종대학교 부근),5,5,0,1,1,3,127.0760212,37.55055304,"{""type"":""Polygon"",""coordinates"":[[[127.0776217,37.5518272],[127.0772787,37.5520513],[127.0768874,37.5522179],[127.0764628,37.5523204],[127.0760212,37.552355],[127.0755797,37.5523204],[127.0751551,37.5522179],[127.0747638,37.5520513],[127.0744208,37.5518272],[127.0741393,37.5515542],[127.0739302,37.5512426],[127.0738014,37.5509046],[127.0737579,37.550553],[127.0738014,37.5502015],[127.0739302,37.5498634],[127.0741394,37.5495519],[127.0744208,37.5492788],[127.0747638,37.5490547],[127.0751551,37.5488882],[127.0755797,37.5487857],[127.0760212,37.548751],[127.0764628,37.5487857],[127.0768873,37.5488882],[127.0772786,37.5490547],[127.0776216,37.5492788],[127.0779031,37.5495519],[127.0781122,37.5498634],[127.078241,37.5502015],[127.0782845,37.550553],[127.0782411,37.5509046],[127.0781123,37.5512426],[127.0779031,37.5515542],[127.0776217,37.5518272]]]}"
161601,2013099,1121510400,11215006,서울특별시 광진구6,서울특별시 광진구 광장동(올림픽대교진입고가차도(북측) 부근),5,5,0,3,1,1,127.0975092,37.54061991,"{""type"":""Polygon"",""coordinates"":[[[127.0991095,37.5418941],[127.0987665,37.5421182],[127.0983753,37.5422847],[127.0979507,37.5423873],[127.0975092,37.5424219],[127.0970677,37.5423873],[127.0966432,37.5422847],[127.096252,37.5421182],[127.095909,37.5418941],[127.0956276,37.541621],[127.0954185,37.5413095],[127.0952897,37.5409714],[127.0952462,37.5406199],[127.0952897,37.5402683],[127.0954185,37.5399303],[127.0956276,37.5396188],[127.0959091,37.5393457],[127.096252,37.5391216],[127.0966432,37.5389551],[127.0970678,37.5388525],[127.0975092,37.5388179],[127.0979507,37.5388525],[127.0983752,37.5389551],[127.0987665,37.5391216],[127.0991094,37.5393457],[127.0993909,37.5396188],[127.0996,37.5399303],[127.0997288,37.5402683],[127.0997723,37.5406199],[127.0997288,37.5409714],[127.0996,37.5413095],[127.0993909,37.541621],[127.0991095,37.5418941]]]}"
154572,2013099,1121510300,11215007,서울특별시 광진구7,서울특별시 광진구 구의동(자양사거리 부근),5,5,0,3,2,0,127.0837172,37.53645095,"{""type"":""Polygon"",""coordinates"":[[[127.0853173,37.5377251],[127.0849744,37.5379493],[127.0845832,37.5381158],[127.0841587,37.5382183],[127.0837172,37.538253],[127.0832757,37.5382183],[127.0828512,37.5381158],[127.08246,37.5379493],[127.0821171,37.5377251],[127.0818356,37.5374521],[127.0816265,37.5371405],[127.0814978,37.5368025],[127.0814543,37.5364509],[127.0814978,37.5360994],[127.0816266,37.5357613],[127.0818357,37.5354498],[127.0821171,37.5351767],[127.08246,37.5349526],[127.0828512,37.5347861],[127.0832757,37.5346836],[127.0837172,37.5346489],[127.0841587,37.5346836],[127.0845831,37.5347861],[127.0849744,37.5349526],[127.0853173,37.5351767],[127.0855987,37.5354498],[127.0858078,37.5357613],[127.0859366,37.5360994],[127.0859801,37.5364509],[127.0859366,37.5368025],[127.0858079,37.5371405],[127.0855987,37.5374521],[127.0853173,37.5377251]]]}"
154568,2013099,1121510500,11215008,서울특별시 광진구8,서울특별시 광진구 자양동(신양초교앞 부근),6,6,0,0,6,0,127.069063,37.53626889,"{""type"":""Polygon"",""coordinates"":[[[127.0706631,37.5375431],[127.0703202,37.5377672],[127.069929,37.5379337],[127.0695045,37.5380363],[127.069063,37.5380709],[127.0686215,37.5380363],[127.068197,37.5379337],[127.0678058,37.5377672],[127.0674629,37.5375431],[127.0671814,37.53727],[127.0669723,37.5369585],[127.0668436,37.5366204],[127.0668001,37.5362689],[127.0668436,37.5359173],[127.0669724,37.5355793],[127.0671815,37.5352677],[127.0674629,37.5349947],[127.0678058,37.5347706],[127.068197,37.5346041],[127.0686215,37.5345015],[127.069063,37.5344669],[127.0695044,37.5345015],[127.0699289,37.5346041],[127.0703202,37.5347706],[127.0706631,37.5349947],[127.0709445,37.5352677],[127.0711536,37.5355793],[127.0712824,37.5359173],[127.0713259,37.5362689],[127.0712824,37.5366204],[127.0711536,37.5369585],[127.0709445,37.53727],[127.0706631,37.5375431]]]}"
161607,2013099,1121510500,11215009,서울특별시 광진구9,서울특별시 광진구 자양동(신자초교입구 부근),6,6,0,2,2,2,127.0741092,37.53358524,"{""type"":""Polygon"",""coordinates"":[[[127.0757093,37.5348594],[127.0753664,37.5350835],[127.0749752,37.5352501],[127.0745507,37.5353526],[127.0741092,37.5353872],[127.0736677,37.5353526],[127.0732433,37.5352501],[127.072852,37.5350835],[127.0725091,37.5348594],[127.0722277,37.5345864],[127.0720186,37.5342748],[127.0718899,37.5339368],[127.0718464,37.5335852],[127.0718899,37.5332337],[127.0720187,37.5328956],[127.0722278,37.5325841],[127.0725092,37.532311],[127.0728521,37.5320869],[127.0732433,37.5319204],[127.0736678,37.5318179],[127.0741092,37.5317832],[127.0745506,37.5318179],[127.0749751,37.5319204],[127.0753663,37.5320869],[127.0757092,37.532311],[127.0759906,37.5325841],[127.0761997,37.5328956],[127.0763285,37.5332337],[127.076372,37.5335852],[127.0763285,37.5339368],[127.0761998,37.5342748],[127.0759907,37.5345864],[127.0757093,37.5348594]]]}"
161606,2013099,1121510500,11215010,서울특별시 광진구10,서울특별시 광진구 자양동(자양삼거리 부근),6,7,0,3,4,0,127.0777221,37.53731712,"{""type"":""Polygon"",""coordinates"":[[[127.0793222,37.5385913],[127.0789793,37.5388154],[127.0785881,37.538982],[127.0781635,37.5390845],[127.0777221,37.5391191],[127.0772806,37.5390845],[127.0768561,37.538982],[127.0764648,37.5388154],[127.0761219,37.5385913],[127.0758405,37.5383182],[127.0756314,37.5380067],[127.0755026,37.5376687],[127.0754591,37.5373171],[127.0755026,37.5369656],[127.0756314,37.5366275],[127.0758405,37.536316],[127.076122,37.5360429],[127.0764649,37.5358188],[127.0768561,37.5356523],[127.0772806,37.5355497],[127.0777221,37.5355151],[127.0781635,37.5355497],[127.078588,37.5356523],[127.0789792,37.5358188],[127.0793222,37.5360429],[127.0796036,37.536316],[127.0798127,37.5366275],[127.0799415,37.5369656],[127.079985,37.5373171],[127.0799415,37.5376687],[127.0798127,37.5380067],[127.0796036,37.5383182],[127.0793222,37.5385913]]]}"
154570,2013099,1121510300,11215011,서울특별시 광진구11,서울특별시 광진구 구의동(아차산역 부근),6,6,1,4,1,0,127.0907428,37.54935759,"{""type"":""Polygon"",""coordinates"":[[[127.0923432,37.5506318],[127.0920002,37.5508559],[127.0916089,37.5510224],[127.0911843,37.551125],[127.0907428,37.5511596],[127.0903012,37.551125],[127.0898766,37.5510224],[127.0894853,37.5508559],[127.0891423,37.5506318],[127.0888609,37.5503587],[127.0886517,37.5500472],[127.088523,37.5497091],[127.0884795,37.5493576],[127.088523,37.549006],[127.0886518,37.548668],[127.0888609,37.5483564],[127.0891424,37.5480834],[127.0894854,37.5478593],[127.0898767,37.5476928],[127.0903012,37.5475902],[127.0907428,37.5475556],[127.0911843,37.5475902],[127.0916089,37.5476928],[127.0920001,37.5478593],[127.0923431,37.5480834],[127.0926246,37.5483564],[127.0928337,37.548668],[127.0929625,37.549006],[127.093006,37.5493576],[127.0929626,37.5497091],[127.0928338,37.5500472],[127.0926246,37.5503587],[127.0923432,37.5506318]]]}"
