월,평균기온,평균최고기온,평균최저기온,평균상대습도,최소상대습도,월합강수량,평균풍속,최대풍속,평균운량,일조율,합계 일사량,최심적설
1,-1.8,2.9,-5.8,55,17,14.9,2.3,7,3.5,67.97,256.11,6.6
2,-0.2,4.8,-4.7,54,18,11.1,2.4,7.8,2.8,69.31,311.86,0.8
3,6.3,12.3,1.7,48,15,7.9,2.4,8.5,3.9,68.73,444.9,0
4,13.9,20,9.1,52,10,61.6,2.6,8.1,4.4,65.66,488.91,0
5,19.5,25.4,14.4,52,7,16.1,2.4,8.5,3.9,68.48,645.35,0
6,23.3,28.8,18.7,57,14,66.6,2.4,6.4,4.7,64.51,625.27,0
7,26.9,30.4,24.3,77,38,621,2,7.3,7.9,27.44,375.27,0
8,25.9,29.7,22.9,71,19,297,2.3,7.7,7,39.47,411.09,0
9,22.1,27.4,17.5,61,20,35,2,6.8,4.2,64.75,445.23,0
10,16.4,22.5,11.6,56,16,26.5,1.9,7.6,4.5,66.14,240.97,0
11,5.6,10.5,1.3,54,13,40.7,2.1,6.7,4.2,59.45,145.34,1.5
12,-1.9,2.2,-5.7,56,14,34.8,1.8,6.7,3.9,58.96,151.69,5.1
