시간,사고건수,사망자수,부상자수,,,,,,,,,,
0시~2시,31,0,32,,,,,,,,,,
2시~4시,17,0,19,,,,,,,,,,
4시~6시,31,2,29,,,,,,,,,,
6시~8시,102,1,110,,,,,,,,,,
8시~10시,206,4,214,,,,,,,,,,
10시~12시,153,3,157,,,,,,,,,,
12시~14시,168,1,177,,,,,,,,,,
14시~16시,236,3,262,,,,,,,,,,
16시~18시,237,0,261,,,,,,,,,,
18시~20시,220,1,237,,,,,,,,,,
20시~22시,151,1,159,,,,,,,,,,
22시~24시,107,0,119,,,,,,,,,,
