월,사고건수,사망자수,부상자수,,,,,,,,,,
1월,62,0,62,,,,,,,,,,
2월,68,2,68,,,,,,,,,,
3월,94,0,100,,,,,,,,,,
4월,129,0,135,,,,,,,,,,
5월,146,3,161,,,,,,,,,,
6월,206,3,230,,,,,,,,,,
7월,141,1,156,,,,,,,,,,
8월,125,3,128,,,,,,,,,,
9월,171,0,185,,,,,,,,,,
10월,154,2,167,,,,,,,,,,
11월,110,2,114,,,,,,,,,,
12월,65,2,67,,,,,,,,,,
